Ticker,NTrades,WinRate,Realized_pnl,PNL,Avg_realized_pnl,ProfitFactor,Remaining_share_value,FinalCash,FinalEquity,CAGR,Sharpe,MaxDrawdown,Calmar
A,13,0.15384615384615385,-88.27854766247869,-28.88180021049068,-6.79065751249836,0.7326141862689712,617.0999908447267,,,,,,
AAPL,12,0.5833333333333334,538.5840610461709,538.5840610461709,44.88200508718091,7.610977784847675,0.0,,,,,,
ABBV,9,0.2222222222222222,-200.4008364495219,110.25951072193223,-22.266759605502436,0.6089555840776696,2214.634510986744,,,,,,
ABT,7,0.5714285714285714,322.5564881118254,325.36326827810103,46.07949830168934,9.335317713904073,661.3591263448455,,,,,,
ACGL,11,0.36363636363636365,74.68072464734368,70.14073136121087,6.789156786122154,1.6787228349718015,179.63999938964844,,,,,,
ACN,13,0.3076923076923077,61.82334913159525,61.82334913159525,4.755642240891943,1.0872696933334052,0.0,,,,,,
ADBE,13,0.23076923076923078,-844.7801208496094,-881.1799621582037,-64.98308621920071,0.5420402029791339,3605.4000854492188,,,,,,
ADI,12,0.3333333333333333,-468.4532786294084,-339.8707809651761,-39.03777321911736,0.2645955572648027,1229.0499877929685,,,,,,
ADM,15,0.26666666666666666,-82.17088474887814,-82.17088474887814,-5.478058983258543,0.592407111097112,0.0,,,,,,
ADP,11,0.5454545454545454,218.71774855096513,172.7990200489135,19.883431686451374,1.9583505030106125,865.469970703125,,,,,,
ADSK,12,0.6666666666666666,140.61004638671926,278.88003540039114,11.717503865559939,1.3847588237553736,966.6900329589844,,,,,,
AEE,8,0.375,-97.07774419274834,-36.271322755644135,-12.134718024093543,0.4832114316687881,518.499984741211,,,,,,
AEP,12,0.5833333333333334,-9.158326956380591,2.935504619499497,-0.7631939130317159,0.9424631730408505,326.8824732859712,,,,,,
AES,12,0.25,-35.42575316591143,-35.42575316591143,-2.9521460971592854,0.6039216353149074,0.0,,,,,,
AFL,11,0.18181818181818182,-46.19592376640669,18.825393656030926,-4.199629433309699,0.7866643599046426,1113.7000274658205,,,,,,
AIG,5,0.6,93.7983597564838,102.12499465739629,18.75967195129676,2.8046170005778213,233.40000915527344,,,,,,
AIZ,11,0.45454545454545453,220.9902160457924,269.8932551284032,20.090019640526588,2.1878982448523216,642.5700073242188,,,,,,
AJG,13,0.46153846153846156,282.89333882023686,283.6932045428931,21.761026063095144,1.9127337204393915,3050.0,,,,,,
AKAM,15,0.13333333333333333,-270.82004547119135,-276.97002410888666,-18.054669698079422,0.430056540880488,380.60001373291016,,,,,,
ALB,9,0.1111111111111111,-744.9169079949611,-744.9169079949611,-82.76854533277346,0.1565388589874849,0.0,,,,,,
ALGN,8,0.125,-375.7499694824216,-375.7499694824216,-46.96874618530269,0.6602468310707869,0.0,,,,,,
ALL,5,0.8,305.57557093407723,399.55876790613775,61.11511418681546,48.608885586804846,1058.000030517578,,,,,,
ALLE,9,0.5555555555555556,594.0261035810452,594.0261035810452,66.00290039789392,4.093323692728953,0.0,,,,,,
AMAT,10,0.6,562.3552014874946,615.1551892804637,56.235520148749444,2.2437521892340224,2043.6000061035159,,,,,,
AMCR,13,0.23076923076923078,-17.375618274215057,-17.375618274215057,-1.336586021093466,0.2506217682730322,0.0,,,,,,
AMD,8,0.5,426.9000244140627,426.9000244140627,53.36250305175784,2.4921358693717384,0.0,,,,,,
AME,10,0.6,-0.9439094036997062,36.072445875434255,-0.09439094036997062,0.994785822216852,933.8999938964844,,,,,,
AMGN,9,0.5555555555555556,419.6947445834096,421.7015229542027,46.63274939815662,2.7079751835968953,548.280029296875,,,,,,
AMP,11,0.2727272727272727,883.5565553843219,807.1067404556209,80.32332321675653,1.5912853006424,2487.444828704559,,,,,,
AMT,9,0.4444444444444444,206.43159834940653,206.43159834940653,22.93684426104517,1.5038264296261592,0.0,,,,,,
AMZN,9,0.6666666666666666,837.13005065918,869.9800415039066,93.01445007324223,8.390571370029598,666.0899963378906,,,,,,
ANET,9,0.6666666666666666,405.48744201660156,405.48744201660156,45.05416022406684,2.6745297360447324,0.0,,,,,,
AON,12,0.25,5.648440997964826,-47.29827652907312,0.47070341649706887,1.008813399026426,1063.5599670410156,,,,,,
AOS,11,0.45454545454545453,-123.35891911421294,-95.48527592206555,-11.214447192201176,0.518285698398404,362.9305343018569,,,,,,
APA,9,0.4444444444444444,-32.27322751407614,-32.27322751407614,-3.585914168230682,0.7544375348658177,0.0,,,,,,
APD,12,0.4166666666666667,-737.4676061891348,-769.5789633547669,-61.45563384909457,0.23897458104928707,1340.8412026436777,,,,,,
APH,4,0.5,190.09025500089172,190.09025500089172,47.52256375022293,4.584412787773082,0.0,,,,,,
APO,6,0.8333333333333334,662.2441417030159,652.2831732151487,110.37402361716931,6.019694779128233,1371.6226590435147,,,,,,
APTV,14,0.21428571428571427,-62.7200164794924,-62.7200164794924,-4.480001177106601,0.8162696652155457,0.0,,,,,,
ARE,11,0.09090909090909091,-179.21205500915315,-117.51593826052877,-16.292005000832106,0.5446974334716994,829.4999694824219,,,,,,
ATO,2,0.5,114.41792051483667,114.41792051483667,57.20896025741833,150.27394468571615,0.0,,,,,,
AVB,15,0.4666666666666667,13.814697707828458,14.409604036154406,0.9209798471885638,1.073020651914557,575.4600219726562,,,,,,
AVGO,12,0.4166666666666667,899.842280257572,899.842280257572,74.986856688131,3.1164793994109576,0.0,,,,,,
AVY,12,0.25,-460.6049103156703,-460.6049103156703,-38.38374252630586,0.25640334647001384,0.0,,,,,,
