Ticker,NTrades,WinRate,Realized_pnl,PNL,Avg_realized_pnl,ProfitFactor,Remaining_share_value,FinalCash,FinalEquity,CAGR,Sharpe,MaxDrawdown,Calmar
A,10,0.2,-339.6617441907538,-269.6304910535008,-33.96617441907537,0.43084168196500233,1604.4599761962893,,,,,,
AAPL,3,0.3333333333333333,134.56307009624544,322.33113919480195,44.85435669874848,1.993722321439604,1782.292264061202,,,,,,
ABBV,7,0.42857142857142855,121.83329519926565,359.45909421923795,17.40475645703795,1.2923817268841526,1550.2441576907206,,,,,,
ABT,6,0.5,300.51396116517446,338.5648800267693,50.085660194195746,8.239967531302042,1719.5337284965985,,,,,,
ACGL,10,0.4,162.366624302836,162.366624302836,16.236662430283598,1.477625302536035,0.0,,,,,,
ACN,11,0.36363636363636365,252.40173656698613,252.40173656698613,22.945612415180562,1.5380459907817716,0.0,,,,,,
ADBE,10,0.2,-576.2800598144531,-590.8399963378909,-57.62800598144531,0.34228872945712946,1442.1600341796875,,,,,,
ADI,9,0.3333333333333333,-37.55256511095118,-72.56119649811652,-4.172507234550128,0.9160558630627066,1474.8599853515623,,,,,,
ADM,11,0.2727272727272727,81.51599189208167,81.51599189208167,7.4105447174619705,1.2233379428170583,0.0,,,,,,
ADP,10,0.3,199.40181927422353,199.40181927422353,19.94018192742235,2.0612513964439674,0.0,,,,,,
ADSK,10,0.5,289.49967956543065,287.85966491699315,28.949967956543066,1.6630164620374277,1288.9200439453125,,,,,,
AEE,10,0.5,146.22844390991904,146.22844390991904,14.622844390991904,1.527810570029088,1555.499954223633,,,,,,
AEP,10,0.6,19.257475525163315,19.257475525163315,1.9257475525163301,1.049620560020042,0.0,,,,,,
AES,10,0.2,-223.17760066969316,-223.17760066969316,-22.31776006696931,0.7548014254169011,0.0,,,,,,
AFL,9,0.4444444444444444,534.8303945882616,645.3666342064055,59.42559939869573,2.865716151540107,1893.2900466918948,,,,,,
AIG,11,0.2727272727272727,96.39070241997915,96.39070241997915,8.762791129089015,1.2063653118779756,0.0,,,,,,
AIZ,9,0.3333333333333333,51.8037789748484,106.14289609081715,5.755975441649822,1.1498197609053786,1713.52001953125,,,,,,
AJG,11,0.45454545454545453,466.40008445461086,466.800017315939,42.4000076776919,2.8704661472899873,1525.0,,,,,,
AKAM,10,0.2,-365.98997497558577,-365.98997497558577,-36.59899749755858,0.5051715009378123,0.0,,,,,,
ALB,8,0.125,-517.4160932996245,-517.4160932996245,-64.67701166245307,0.3702074660081753,0.0,,,,,,
ALGN,7,0.42857142857142855,247.25988769531313,247.25988769531313,35.322841099330454,1.3462926763729377,0.0,,,,,,
ALL,7,0.42857142857142855,249.76761151167045,304.00894625476906,35.68108735881007,1.867193971401277,1692.8000488281248,,,,,,
ALLE,6,0.8333333333333334,835.7307436662093,835.7307436662093,139.28845727770155,10.901049179824064,0.0,,,,,,
AMAT,9,0.6666666666666666,802.0535798605385,844.2935700949138,89.11706442894872,3.1683509309430016,1634.8800048828127,,,,,,
AMCR,9,0.2222222222222222,-285.38657971214354,-285.38657971214354,-31.70961996801595,0.401755524777752,0.0,,,,,,
AMD,7,0.5714285714285714,1014.7101058959965,1014.7101058959965,144.95858655657094,4.973645692761975,0.0,,,,,,
AME,9,0.4444444444444444,46.00952690693211,78.479204249974,5.11216965632579,1.1445612822947724,1494.239990234375,,,,,,
AMGN,8,0.375,120.15348854448641,120.15348854448641,15.019186068060801,1.5798066360135792,0.0,,,,,,
AMP,8,0.375,476.9969907459577,476.9969907459577,59.62462384324471,2.1352393592108756,0.0,,,,,,
AMT,7,0.42857142857142855,431.1508513374479,431.1508513374479,61.59297876249256,2.5522756331736454,0.0,,,,,,
AMZN,8,0.625,1114.4001693725593,1114.4001693725593,139.3000211715699,7.563403106416027,0.0,,,,,,
ANET,2,1.0,623.1051025390623,623.1051025390623,311.55255126953114,,0.0,,,,,,
AON,9,0.1111111111111111,-57.68281166336527,-57.68281166336527,-6.409201295929474,0.8455775943900177,0.0,,,,,,
AOS,10,0.4,-80.66381115764126,17.4897267008661,-8.06638111576412,0.8548637561768179,1524.3082440677988,,,,,,
APA,8,0.5,-18.10264086446898,-18.10264086446898,-2.2628301080586226,0.9734945268182241,0.0,,,,,,
APD,10,0.3,-88.3653797574662,-88.3653797574662,-8.836537975746618,0.8145266253142327,0.0,,,,,,
APH,9,0.4444444444444444,577.4691779418729,577.4691779418729,64.16324199354143,2.5697804338342825,0.0,,,,,,
APO,6,0.8333333333333334,838.6723519019124,827.7152865652585,139.7787253169854,5.889992121700677,1508.784924947866,,,,,,
APTV,9,0.2222222222222222,-131.17993927001976,87.50011444091774,-14.575548807779974,0.7241684860769548,1888.2600402832031,,,,,,
ARE,7,0.14285714285714285,-267.19755883497845,-156.14454868745457,-38.17107983356835,0.4451836553513007,1493.0999450683594,,,,,,
ATO,8,0.375,271.44274329892113,378.0995953179738,33.93034291236514,2.6939239332106375,1527.4800109863281,,,,,,
AVB,12,0.5,357.2619595026658,355.91499394401393,29.771829958555475,2.9555870010407483,1534.56005859375,,,,,,
AVGO,10,0.4,1118.5545570674467,1118.5545570674467,111.85545570674466,3.7232700835381696,0.0,,,,,,
AVY,8,0.25,-177.24121605874228,-177.24121605874228,-22.155152007342785,0.5577582030922746,0.0,,,,,,
AWK,10,0.4,-98.28255937234704,-98.28255937234704,-9.828255937234704,0.6696616481043606,0.0,,,,,,
AXON,9,0.3333333333333333,328.39004516601585,328.39004516601585,36.48778279622398,1.4537529898984825,0.0,,,,,,
