Date,Ticker,Type,Price,Shares,Cash_after
2022-12-21 05:00:00,ADM,BUY,85.35762337078685,23.0,98036.7746624719
2022-12-22 05:00:00,ADM,SELL,86.17246431525359,23.0,100018.74134172274
2022-12-22 05:00:00,ALGN,BUY,202.27999877929688,9.0,98198.22135270906
2022-12-27 05:00:00,ADM,BUY,86.96901248408072,22.0,96284.90307805929
2022-12-29 05:00:00,ADM,SELL,85.95274787952948,22.0,98175.86353140893
2023-01-05 05:00:00,AVY,BUY,175.34812636015792,11.0,96247.03414144719
2023-01-09 05:00:00,AOS,BUY,58.277025795948525,33.0,94323.89229018088
2023-01-12 05:00:00,AIZ,BUY,121.17070738559204,15.0,92506.331679397
2023-01-12 05:00:00,ALLE,BUY,110.02290341211648,16.0,90745.96522480313
2023-01-13 05:00:00,APH,BUY,39.19771003853056,46.0,88942.87056303072
2023-01-17 05:00:00,AXP,BUY,150.36472763244245,11.0,87288.85855907385
2023-01-17 05:00:00,AMP,BUY,319.5186574461792,5.0,85691.26527184296
2023-01-17 05:00:00,AXON,BUY,188.30999755859372,9.0,83996.47529381562
2023-01-17 05:00:00,AMAT,BUY,106.70796966552734,15.0,82395.8557488327
2023-01-18 05:00:00,ALGN,SELL,247.27999877929688,9.0,84621.37573784638
2023-01-18 05:00:00,AJG,BUY,190.37660832986668,8.0,83098.36287120744
2023-01-19 05:00:00,AVB,BUY,152.45523397479968,10.0,81573.81053145944
2023-01-19 05:00:00,AMZN,BUY,94.73999786376952,17.0,79963.23056777536
2023-01-20 05:00:00,APTV,BUY,101.51000213623048,15.0,78440.5805357319
2023-01-24 05:00:00,ADSK,BUY,209.30999755859372,7.0,76975.41055282175
2023-01-24 05:00:00,AMD,BUY,73.75,20.0,75500.41055282175
2023-01-30 05:00:00,BAC,BUY,32.71476353019521,46.0,73995.53143043276
2023-01-31 05:00:00,ALB,BUY,261.2556436586862,5.0,72689.25321213933
2023-02-01 05:00:00,APD,BUY,297.51669524463244,4.0,71499.18643116081
2023-02-03 05:00:00,APD,SELL,272.23181961685384,4.0,72588.11370962822
2023-02-03 05:00:00,AKAM,BUY,89.5199966430664,16.0,71155.79376333916
2023-02-03 05:00:00,ATO,BUY,110.99387082808366,12.0,69823.86731340215
2023-02-06 05:00:00,ACN,BUY,274.2903061744992,5.0,68452.41578252966
2023-02-08 05:00:00,AVY,SELL,173.5677097741771,11.0,70361.6605900456
2023-02-09 05:00:00,ALL,BUY,128.79628362337525,10.0,69073.69775381185
2023-02-15 05:00:00,AKAM,SELL,81.52999877929688,16.0,70378.1777342806
2023-02-15 05:00:00,APTV,SELL,122.08999633789062,15.0,72209.52767934896
2023-02-22 05:00:00,AJG,SELL,182.5271568534548,8.0,73669.7449341766
2023-02-22 05:00:00,ALB,SELL,233.1012162638819,5.0,74835.25101549602
2023-03-01 05:00:00,ACN,SELL,254.15975617258488,5.0,76106.04979635894
2023-03-02 05:00:00,APH,SELL,37.787159941450575,46.0,77844.25915366567
2023-03-03 05:00:00,ALL,SELL,119.19572297058382,10.0,79036.2163833715
2023-03-03 05:00:00,BAC,SELL,31.46809695048795,46.0,80483.74884309394
2023-03-06 05:00:00,AIZ,SELL,121.71125774609924,15.0,82309.41770928542
2023-03-06 05:00:00,AMZN,SELL,95.19000244140624,17.0,83927.64775078933
2023-03-06 05:00:00,ABBV,BUY,140.90635500997533,11.0,82377.6778456796
2023-03-07 05:00:00,ALLE,SELL,110.28275220342732,16.0,84142.20188093444
2023-03-07 05:00:00,ATO,SELL,106.78839530733596,12.0,85423.66262462248
2023-03-08 05:00:00,ADSK,SELL,205.83999633789065,7.0,86864.54259898771
2023-03-08 05:00:00,AXON,SELL,226.0,9.0,88898.54259898771
2023-03-10 05:00:00,AVB,SELL,155.27933373856283,10.0,90451.33593637333
2023-03-13 04:00:00,AMP,SELL,281.7740858718364,5.0,91860.20636573252
2023-03-16 04:00:00,AMD,SELL,89.72000122070312,20.0,93654.60639014658
2023-03-20 04:00:00,AXP,SELL,153.10058337262575,11.0,95338.71280724547
2023-03-27 04:00:00,AMZN,BUY,99.06999969482422,19.0,93456.3828130438
2023-03-28 04:00:00,ADBE,BUY,373.4200134277344,5.0,91589.28274590513
2023-03-31 04:00:00,ACGL,BUY,64.56600900930587,28.0,89781.43449364457
2023-04-03 04:00:00,APH,BUY,39.72611122241084,45.0,87993.75948863609
2023-04-04 04:00:00,AON,BUY,310.73465473894225,5.0,86440.08621494137
2023-04-04 04:00:00,ACN,BUY,272.7941972839045,6.0,84803.32103123795
2023-04-05 04:00:00,AMGN,BUY,229.46236021491657,7.0,83197.08450973354
2023-04-05 04:00:00,AEE,BUY,80.35491273517624,20.0,81589.98625503002
2023-04-06 04:00:00,AJG,BUY,191.0923186674473,8.0,80061.24770569043
2023-04-10 04:00:00,AWK,BUY,141.77927470031918,11.0,78501.67568398692
2023-04-10 04:00:00,AEP,BUY,85.10007085386943,18.0,76969.87440861727
2023-04-10 04:00:00,BA,BUY,211.0,7.0,75492.87440861727
2023-04-12 04:00:00,AMCR,BUY,9.79629030074077,154.0,73984.24570230319
2023-04-13 04:00:00,AOS,SELL,62.73592360640775,33.0,76054.53118131464
2023-04-13 04:00:00,AKAM,BUY,81.4800033569336,18.0,74587.89112088984
2023-04-13 04:00:00,APD,BUY,269.68631719061545,5.0,73239.45953493676
2023-04-13 04:00:00,ADM,BUY,74.4926246408857,19.0,71824.09966675992
2023-04-13 04:00:00,ATO,BUY,108.4040008416419,13.0,70414.84765581858
2023-04-13 04:00:00,AMT,BUY,193.14798815528812,7.0,69062.81173873156
2023-04-14 04:00:00,ABT,BUY,98.67172623201796,13.0,67780.07929771532
2023-04-14 04:00:00,APA,BUY,36.557235625034416,37.0,66427.46157958904
2023-04-17 04:00:00,AMAT,SELL,106.7721305314748,15.0,68029.04353756117
2023-04-17 04:00:00,AVY,BUY,170.70124338939493,7.0,66834.1348338354
2023-04-17 04:00:00,AES,BUY,21.40954989185104,62.0,65506.742740540634
2023-04-18 04:00:00,APH,SELL,38.801107371245145,45.0,67252.79257224666
2023-04-19 04:00:00,AVB,BUY,158.1136450296148,8.0,65987.88341200975
2023-04-21 04:00:00,AFL,BUY,62.88078752305416,20.0,64730.26766154866
2023-04-24 04:00:00,APA,SELL,33.574752359045256,37.0,65972.53349883333
2023-04-24 04:00:00,AOS,BUY,65.60009745145227,20.0,64660.53154980429
2023-04-26 04:00:00,BA,SELL,208.25,7.0,66118.28154980429
2023-04-27 04:00:00,AMCR,SELL,9.573445269300802,154.0,67592.59212127661
2023-04-27 04:00:00,AVY,SELL,156.9246996473772,7.0,68691.06501880825
2023-04-28 04:00:00,AES,SELL,20.708891491715,62.0,69975.01629129458
2023-05-03 04:00:00,ADM,SELL,69.79769313190225,19.0,71301.17246080072
2023-05-03 04:00:00,AIZ,BUY,121.0400914437725,11.0,69969.73145491922
2023-05-04 04:00:00,AMT,SELL,175.8205674264534,7.0,71200.47542690439
2023-05-04 04:00:00,ALLE,BUY,105.07039718401276,13.0,69834.56026351222
2023-05-05 04:00:00,ABBV,SELL,135.58496073487143,11.0,71325.9948315958
2023-05-05 04:00:00,ADBE,SELL,338.9800109863281,5.0,73020.89488652744
2023-05-05 04:00:00,AMGN,SELL,214.77537740059933,7.0,74524.32252833164
2023-05-08 04:00:00,AME,BUY,143.11137141634887,10.0,73093.20881416816
2023-05-10 04:00:00,AIG,BUY,50.60357430591087,28.0,71676.30873360265
2023-05-12 04:00:00,AMD,BUY,96.83000183105467,14.0,70320.68870796789
