Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,RealizedPNL
ADM,2022-12-21 05:00:00,2022-12-22 05:00:00,85.35762337078685,86.17246431525359,11.0,8.963250389134117
ADM,2022-12-21 05:00:00,2022-12-29 05:00:00,85.35762337078685,85.95274787952948,6.0,3.570747052455772
ADM,2022-12-21 05:00:00,2023-01-06 05:00:00,85.35762337078685,77.72185372675852,6.0,-45.814617864169975
ALGN,2022-12-22 05:00:00,2023-01-18 05:00:00,202.27999877929688,247.27999877929688,9.0,405.0
APD,2023-02-01 05:00:00,2023-02-03 05:00:00,297.51669524463244,272.23181961685384,4.0,-101.13950251111442
AVY,2023-01-05 05:00:00,2023-02-08 05:00:00,175.34812636015792,173.5677097741771,5.0,-8.902082929904083
AKAM,2023-02-03 05:00:00,2023-02-15 05:00:00,89.5199966430664,81.52999877929688,16.0,-127.8399658203125
APTV,2023-01-20 05:00:00,2023-02-15 05:00:00,101.51000213623048,122.08999633789062,15.0,308.6999130249021
AJG,2023-01-18 05:00:00,2023-02-22 05:00:00,190.37660832986668,182.5271568534548,4.0,-31.397805905647488
ALB,2023-01-31 05:00:00,2023-02-22 05:00:00,261.2556436586862,233.1012162638819,5.0,-140.77213697402158
ACN,2023-02-06 05:00:00,2023-03-01 05:00:00,274.2903061744992,254.15975617258488,2.0,-40.26110000382869
BAC,2023-01-30 05:00:00,2023-03-03 05:00:00,32.71476353019521,31.46809695048795,23.0,-28.673331333267047
ALL,2023-02-09 05:00:00,2023-03-03 05:00:00,128.79628362337525,119.19572297058382,5.0,-48.00280326395715
AIZ,2023-01-12 05:00:00,2023-03-06 05:00:00,121.17070738559204,121.71125774609924,7.0,3.7838525235503795
AMZN,2023-01-19 05:00:00,2023-03-06 05:00:00,94.73999786376952,95.19000244140624,8.0,3.60003662109375
ALLE,2023-01-12 05:00:00,2023-03-07 05:00:00,110.02290341211648,110.28275220342732,8.0,2.078790330486754
ADSK,2023-01-24 05:00:00,2023-03-08 05:00:00,209.30999755859372,205.83999633789065,3.0,-10.410003662109204
ALL,2023-02-09 05:00:00,2023-03-08 05:00:00,128.79628362337525,118.07343896929316,5.0,-53.614223270410406
AXON,2023-01-17 05:00:00,2023-03-08 05:00:00,188.30999755859372,226.0,9.0,339.2100219726565
ACN,2023-02-06 05:00:00,2023-03-10 05:00:00,274.2903061744992,249.48914381994092,3.0,-74.4034870636749
AVB,2023-01-19 05:00:00,2023-03-10 05:00:00,152.45523397479968,155.27933373856283,5.0,14.120498818815719
BAC,2023-01-30 05:00:00,2023-03-10 05:00:00,32.71476353019521,28.354012013639604,23.0,-100.29728488077902
