Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-10-01 00:00:00-04:00,87.68537057023372,88.21602036837513,86.49543863628237,88.12757873535156,1269600,0.0,0.0
2015-10-02 00:00:00-04:00,85.0803516117282,87.42002403166484,84.09141645397622,87.30745697021484,1504700,0.0,0.0
2015-10-05 00:00:00-04:00,88.34463919550682,90.1858233026838,86.48737758322444,89.9526596069336,919000,0.0,0.0
2015-10-06 00:00:00-04:00,89.52654771658341,89.80795010116823,88.52153481870054,89.26122283935547,939300,0.0,0.0
2015-10-07 00:00:00-04:00,90.08934073633074,90.9013865800612,88.6984004627656,89.93657684326172,1155800,0.0,0.0
2015-10-08 00:00:00-04:00,89.59088205491386,90.30645084364727,89.1567156885847,90.08937072753906,1587000,0.0,0.0
2015-10-09 00:00:00-04:00,90.10542187269698,90.60391039946714,88.60192060703527,89.32553100585938,1178300,0.0,0.0
2015-10-12 00:00:00-04:00,89.16475715497245,89.37380158254491,87.94265787667015,88.3044662475586,993200,0.0,0.0
2015-10-13 00:00:00-04:00,87.5888867310791,88.11148853481674,86.68839295918265,86.8250732421875,1123000,0.0,0.0
2015-10-14 00:00:00-04:00,86.91351309274337,87.34767939528051,86.17382508135944,86.48738861083984,1202200,0.0,0.0
2015-10-15 00:00:00-04:00,87.39590904758818,89.00392949839282,86.91350413916902,88.93961334228516,871800,0.0,0.0
2015-10-16 00:00:00-04:00,89.11648479064166,89.90441746060237,88.4652385122601,89.70341491699219,982800,0.0,0.0
2015-10-19 00:00:00-04:00,89.13256537864362,89.61497023997546,88.8913598809224,89.44612884521484,1245400,0.0,0.0
2015-10-20 00:00:00-04:00,89.47025799265973,90.61999287437382,89.2772972537606,90.29035186767578,839600,0.0,0.0
2015-10-21 00:00:00-04:00,90.676274647044,91.3516464440522,89.52653974882658,89.69538116455078,1203300,0.0,0.0
2015-10-22 00:00:00-04:00,88.60193082121603,92.9435875805633,86.84115247088796,91.72953033447266,1359600,0.0,0.0
