Ticker,NTrades,WinRate,Realized_pnl,PNL,Avg_realized_pnl,ProfitFactor,Remaining_share_value,FinalCash,FinalEquity,CAGR,Sharpe,MaxDrawdown,Calmar
A,9,0.1111111111111111,-1162.8034754686194,-1157.416455996523,-129.2003861631799,0.13916375963889463,123.41999816894533,,,,,,
AAPL,2,0.5,-378.47364804305744,131.18253951016737,-189.23682402152872,0.3375380668077962,4837.650431023263,,,,,,
ABBV,7,0.14285714285714285,-1991.9109736907028,1021.4943938724025,-284.55871052724325,0.0675285534183036,21481.954756571413,,,,,,
ABT,4,0.5,1074.4659706066861,1171.2064054266841,268.61649265167154,9.799785195280744,10449.47419624856,,,,,,
ACGL,10,0.4,3599.881587958082,3599.881587958082,359.9881587958082,3.9169704961623553,0.0,,,,,,
ACN,8,0.375,1518.0833616689197,1518.0833616689197,189.76042020861496,4.496966522078048,0.0,,,,,,
ADBE,9,0.2222222222222222,-4004.9112548828143,-4183.270477294926,-444.9901394314238,0.4268767395625198,17666.460418701172,,,,,,
ADI,6,0.16666666666666666,1357.8412214972175,1357.8412214972175,226.30687024953625,3.401279429597051,0.0,,,,,,
ADM,10,0.3,-1001.178551441883,-1001.178551441883,-100.1178551441883,0.3791653244723815,0.0,,,,,,
ADP,8,0.375,71.10521176208496,71.10521176208496,8.88815147026062,1.2521823503211722,0.0,,,,,,
ADSK,3,0.3333333333333333,325.0002441406207,325.0002441406207,108.33341471354022,1.203889770337764,0.0,,,,,,
AEE,5,0.6,307.2379127604696,336.260017235158,61.44758255209392,8.839640398428367,622.1999816894532,,,,,,
AEP,9,0.6666666666666666,-2635.1404818738033,-2635.1404818738033,-292.79338687486705,0.20240961274093658,0.0,,,,,,
AES,10,0.2,-2891.51710228397,-2891.51710228397,-289.15171022839706,0.14658029530548228,0.0,,,,,,
AFL,9,0.4444444444444444,3831.214327001758,4156.320914113946,425.69048077797316,11.757009727633072,5568.5001373291025,,,,,,
AIG,10,0.3,276.93601615229505,276.93601615229505,27.693601615229518,1.259138024305015,0.0,,,,,,
AIZ,9,0.3333333333333333,-3131.1159611530948,-3063.1920647581337,-347.9017734614549,0.140454059838321,2141.9000244140625,,,,,,
AJG,9,0.5555555555555556,-380.82439450291827,-379.7045824911995,-42.31382161143537,0.6889265677595556,4270.0,,,,,,
AKAM,2,0.0,-1156.2804718017578,-1156.2804718017578,-578.1402359008789,0.0,0.0,,,,,,
ALB,6,0.16666666666666666,35.68439589689467,35.68439589689467,5.947399316149112,1.0689799712547998,0.0,,,,,,
ALGN,5,0.2,-3050.969467163086,-3050.969467163086,-610.1938934326172,0.023373955014251623,0.0,,,,,,
ALL,7,0.42857142857142855,-2388.583839637023,-1934.3126611635723,-341.226262805289,0.20818178151644193,14177.200408935545,,,,,,
ALLE,4,0.75,-21.5375806785992,-21.5375806785992,-5.3843951696498,0.8775234360802259,0.0,,,,,,
AMAT,6,0.6666666666666666,374.9293993573538,617.8093432050114,62.48823322622564,1.263524202058934,9400.560028076174,,,,,,
AMCR,9,0.2222222222222222,-590.5863591885299,-590.5863591885299,-65.62070657650332,0.2710913469902201,0.0,,,,,,
AMD,7,0.5714285714285714,590.039810180666,590.039810180666,84.29140145438087,1.9117371711938205,0.0,,,,,,
AME,1,1.0,561.5938107169083,1325.9383613414057,561.5938107169083,,12701.039916992188,,,,,,
AMGN,4,0.25,-22.777784101449186,-22.777784101449186,-5.694446025362296,0.9848455586116093,0.0,,,,,,
AMP,5,0.4,1288.3762272156066,1288.3762272156066,257.6752454431213,6.052623401800304,0.0,,,,,,
AMT,7,0.42857142857142855,3518.5431704550347,3518.5431704550347,502.64902435071923,8.621190795739693,0.0,,,,,,
AMZN,7,0.5714285714285714,4571.2405624389685,4571.2405624389685,653.0343660627096,20.656176085733748,0.0,,,,,,
ANET,2,1.0,2201.4353408813467,2201.4353408813467,1100.7176704406734,,0.0,,,,,,
AON,6,0.16666666666666666,-975.4048513695216,-975.4048513695216,-162.56747522825358,0.34128758722643715,0.0,,,,,,
AOS,10,0.4,5006.494674626074,5053.234454558697,500.6494674626074,13.061872565611344,725.8610686037138,,,,,,
APA,8,0.5,-1741.9892451299013,-1741.9892451299013,-217.74865564123763,0.3749122787928248,0.0,,,,,,
APD,9,0.3333333333333333,2583.092043885569,2583.092043885569,287.01022709839657,4.192450871878408,0.0,,,,,,
APH,9,0.4444444444444444,-77.33076983901458,-77.33076983901458,-8.59230775989051,0.8182672919723475,0.0,,,,,,
APO,5,0.8,1376.5517635743713,1351.6493423547033,275.3103527148743,53.170108164677224,3429.056647608787,,,,,,
APTV,8,0.25,-327.1880798339844,-237.72805786132812,-40.89850997924805,0.6304503042206915,772.4700164794922,,,,,,
ARE,6,0.0,-589.3855225775142,-577.0462992277893,-98.2309204295857,0.0,165.89999389648438,,,,,,
ATO,5,0.6,537.5345692574344,561.2360919283351,107.50691385148689,6.536635231373594,339.44000244140625,,,,,,
AVB,3,0.3333333333333333,671.000459509437,671.000459509437,223.666819836479,15.721516024447046,0.0,,,,,,
AVGO,1,1.0,40.54492141163297,40.54492141163297,40.54492141163297,,0.0,,,,,,
AVY,6,0.16666666666666666,-4103.431977020949,-4103.431977020949,-683.9053295034914,0.00254364520220781,0.0,,,,,,
AWK,9,0.4444444444444444,1133.5586563298903,1133.5586563298903,125.95096181443225,2.302643606370469,0.0,,,,,,
AXON,8,0.375,1582.880126953125,1582.880126953125,197.86001586914062,1.6873333689713972,0.0,,,,,,
AXP,5,0.8,1257.041727220086,1257.041727220086,251.4083454440172,15.044359646867326,0.0,,,,,,
